[0]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,109,8,29,8,29,8,29,8,29,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,66,8,71,8,29,8,29,8,29,8,29,8,29,8,4907
[1]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,108,8,50,8,50,8,45,8,103,8,496,8,34,8,103,8,29,8,29,8,29,8,34,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,61,8,71,8,29,8,29,8,34,8,29,8,29,8,4907
[2]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,98,8,29,8,29,8,29,8,40,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,55,8,71,8,29,8,29,8,40,8,29,8,29,8,4907
[3]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,108,8,50,8,50,8,45,8,103,8,496,8,34,8,92,8,29,8,29,8,29,8,45,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,50,8,71,8,29,8,29,8,45,8,29,8,29,8,4907
[4]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,87,8,29,8,29,8,29,8,50,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,45,8,71,8,29,8,29,8,50,8,29,8,29,8,4907
[5]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,82,8,29,8,29,8,29,8,55,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,40,8,71,8,29,8,29,8,55,8,29,8,29,8,4907
[6]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,108,8,50,8,50,8,45,8,103,8,496,8,34,8,76,8,29,8,29,8,29,8,61,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,34,8,71,8,29,8,29,8,61,8,29,8,29,8,4907
[7]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,71,8,29,8,29,8,29,8,66,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,29,8,71,8,29,8,29,8,66,8,29,8,29,8,4907
[8]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,66,8,29,8,29,8,29,8,71,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,109,8,71,8,29,8,29,8,71,8,29,8,29,8,4907
[9]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,108,8,50,8,50,8,45,8,103,8,496,8,34,8,61,8,29,8,29,8,29,8,76,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,103,8,71,8,29,8,29,8,77,8,29,8,29,8,4907
[+CH]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,108,8,50,8,50,8,45,8,103,8,498,8,34,8,40,8,29,8,29,8,29,8,98,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,82,8,71,8,29,8,29,8,98,8,29,8,29,8,4907
[-CH]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,34,8,29,8,29,8,29,8,103,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,77,8,71,8,29,8,29,8,103,8,29,8,29,8,4907
[ENTER]sendir,1:1,1,38343,1,1,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,71,8,29,8,29,8,40,8,55,8,29,8,29,8,3136,8,34,8,66,8,29,8,109,8,50,8,50,8,45,8,103,8,498,8,34,8,29,8,71,8,29,8,40,8,55,8,29,8,29,8,4907
